id;street_address;postal_code;city;state_province
1;regarding at;which;Manresa;feast
2;amaze to;afore velvety;San Sebastían de los Reyes;duh
3;eclipse successfully;shoehorn openly;Tarrasa;wonderful invalid
4;adventurously radish;refuse;Ferrol;pesky suede torn
5;colorless bah;beside meteor frenetically;Molina de Segura;voluminous site rightfully
6;um yum horrible;versus what that;Mollet del Vallés;viciously
7;exchange assent;with witty;Cerdañola del Vallés;falsify
8;frost mmm indeed;sleuth;Rubí;recklessly finally
9;righteously;actualize esteem magnificent;Murcia;tremendously buttery fortunately
10;accomplished column fast;speedily protect;Algeciras;sarcastic consent settlement
