id;sponsor_name;description;logo;logo_content_type
1;reformat;phooey cut;../fake-data/blob/hipster.png;image/png
2;safe deserted well-to-do;ack;../fake-data/blob/hipster.png;image/png
3;international intensely;at democratise;../fake-data/blob/hipster.png;image/png
4;inasmuch;fork er;../fake-data/blob/hipster.png;image/png
5;merry gadzooks;until;../fake-data/blob/hipster.png;image/png
6;during jubilantly what;refuse supposing;../fake-data/blob/hipster.png;image/png
7;mama;blindly er;../fake-data/blob/hipster.png;image/png
8;low miscount;gunpowder whenever;../fake-data/blob/hipster.png;image/png
9;consequently under plain;following beautifully pin;../fake-data/blob/hipster.png;image/png
10;quarrelsomely unsteady oof;gesticulate;../fake-data/blob/hipster.png;image/png
