id;team_name;logo;logo_content_type
1;functionality yippee at;../fake-data/blob/hipster.png;image/png
2;granular gee unless;../fake-data/blob/hipster.png;image/png
3;gah worthless although;../fake-data/blob/hipster.png;image/png
4;tenderly snuggle;../fake-data/blob/hipster.png;image/png
5;calm;../fake-data/blob/hipster.png;image/png
6;regret absent;../fake-data/blob/hipster.png;image/png
7;upon hence calmly;../fake-data/blob/hipster.png;image/png
8;impressionable now;../fake-data/blob/hipster.png;image/png
9;yuck in pish;../fake-data/blob/hipster.png;image/png
10;ha yum;../fake-data/blob/hipster.png;image/png
