id;tournament_name;description;start_date;end_date;last_inscriptions_date;max_teams_allowed;prices;active;poster;poster_content_type
1;unbearably overconfidently pro;snowboarding;2024-05-29T20:00:08;2024-05-30T05:31:14;2024-05-30T03:58:57;113;queasily;false;../fake-data/blob/hipster.png;image/png
2;agitated;mushy lovingly trail;2024-05-29T20:07:10;2024-05-30T02:49:10;2024-05-29T23:37:09;96;after although;true;../fake-data/blob/hipster.png;image/png
3;if;dime crayfish;2024-05-30T02:14:51;2024-05-29T21:38:25;2024-05-29T15:04:55;49;sleepily;true;../fake-data/blob/hipster.png;image/png
4;blah about consequently;gift yum;2024-05-29T20:18:19;2024-05-29T15:11:12;2024-05-30T07:09:03;10;frequent that;true;../fake-data/blob/hipster.png;image/png
5;equatorial scarcely;how unless pace;2024-05-30T10:14:30;2024-05-30T00:33:43;2024-05-30T07:24:21;113;absent;false;../fake-data/blob/hipster.png;image/png
6;pesky past;gosh;2024-05-30T03:17:33;2024-05-29T20:24:47;2024-05-29T15:58:52;75;uh-huh;false;../fake-data/blob/hipster.png;image/png
7;thrifty kindly like;ugh chapel vice;2024-05-29T13:53:36;2024-05-29T23:26:42;2024-05-29T16:32:00;28;occasion qua;true;../fake-data/blob/hipster.png;image/png
8;hm;collectivization aw;2024-05-30T11:23:14;2024-05-30T07:45:24;2024-05-29T23:19:24;69;besides ajar;true;../fake-data/blob/hipster.png;image/png
9;hmph unlike irritably;unhook;2024-05-29T15:28:24;2024-05-29T19:44:37;2024-05-29T15:31:08;44;marksman upliftingly act;true;../fake-data/blob/hipster.png;image/png
10;dungarees millstone;aside;2024-05-30T05:26:52;2024-05-30T03:34:56;2024-05-29T12:41:43;110;ew anenst worried;true;../fake-data/blob/hipster.png;image/png
